hour,id,pv_capacity,battery_capacity,battery_level,imbalance,money_balance,trading_price,neighbourhood,transactions
0,15,3.75,10,0.0,0.0,-0.038477007,0.20212574177185855,San_Salvario,"[{'sender': 'Aggregator', 'receiver': 15, 'amount': 0.18322385847568512, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,17,4.75,0,0.0,0.0,-0.07584659,0.20573097405945934,San_Salvario,"[{'sender': 'Aggregator', 'receiver': 17, 'amount': 0.36117425560951233, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,37,3.25,10,0.0,0.0,-0.03805114,0.18977751758202227,San_Salvario,"[{'sender': 'Aggregator', 'receiver': 37, 'amount': 0.18119589984416962, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,42,1.25,0,0.0,0.0,-0.0827294,0.19837183137552705,San_Salvario,"[{'sender': 'Aggregator', 'receiver': 42, 'amount': 0.3939495384693146, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,52,2.0,0,0.0,0.0,-0.063801765,0.20346666910031208,San_Salvario,"[{'sender': 'Aggregator', 'receiver': 52, 'amount': 0.3038179576396942, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,77,0.0,0,0.0,0.0,-0.04120749,0.18230157063479638,San_Salvario,"[{'sender': 'Aggregator', 'receiver': 77, 'amount': 0.19622613489627838, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,82,0.0,0,0.0,0.0,-0.071634725,0.20354873020251563,San_Salvario,"[{'sender': 'Aggregator', 'receiver': 82, 'amount': 0.3411177396774292, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,3,0.75,0,0.0,0.0,-0.03169935,0.18929809987516588,Centro,"[{'sender': 'Aggregator', 'receiver': 3, 'amount': 0.15094928443431854, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,13,3.75,10,0.0,0.0,-0.07157574,0.18936392764106433,Centro,"[{'sender': 'Aggregator', 'receiver': 13, 'amount': 0.34083685278892517, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,31,1.75,5,0.0,0.0,-0.04604662,0.1873881665248396,Centro,"[{'sender': 'Aggregator', 'receiver': 31, 'amount': 0.21926961839199066, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,33,2.75,0,0.0,0.0,-0.09069649,0.19374636102331122,Centro,"[{'sender': 'Aggregator', 'receiver': 33, 'amount': 0.43188807368278503, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,50,2.75,5,0.0,0.0,-0.10208886,0.20830627823159636,Centro,"[{'sender': 'Aggregator', 'receiver': 50, 'amount': 0.4861374497413635, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,64,4.0,5,0.0,0.0,-0.035383023,0.2181500462690684,Centro,"[{'sender': 'Aggregator', 'receiver': 64, 'amount': 0.16849058866500854, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,84,3.75,5,0.0,0.0,-0.09072152,0.18596295905627547,Centro,"[{'sender': 'Aggregator', 'receiver': 84, 'amount': 0.4320072531700134, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,88,4.25,10,0.0,0.0,-0.043084987,0.21647942953083651,Centro,"[{'sender': 'Aggregator', 'receiver': 88, 'amount': 0.20516660809516907, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,97,4.75,5,0.0,0.0,-0.079754286,0.20330751459038698,Centro,"[{'sender': 'Aggregator', 'receiver': 97, 'amount': 0.3797823190689087, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,11,4.0,10,0.0,0.0,-0.04180767,0.18569485246134398,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 11, 'amount': 0.19908414781093597, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,14,1.5,10,0.0,0.0,-0.035883185,0.21935727756316542,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 14, 'amount': 0.17087231576442719, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,18,3.0,0,0.0,0.0,-0.06342239,0.19813968613567692,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 18, 'amount': 0.3020114004611969, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,22,1.0,0,0.0,0.0,-0.060619686,0.20931204338486564,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 22, 'amount': 0.28866517543792725, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,48,2.5,0,0.0,0.0,-0.03640784,0.21785817934536894,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 48, 'amount': 0.17337067425251007, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,59,2.5,10,0.0,0.0,-0.059920974,0.19711147188626937,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 59, 'amount': 0.28533798456192017, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,67,4.25,0,0.0,0.0,-0.059925012,0.2054227208919009,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 67, 'amount': 0.28535720705986023, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,71,3.25,5,0.0,0.0,-0.052672625,0.21087958644030877,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 71, 'amount': 0.2508220374584198, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,78,2.25,5,0.0,0.0,-0.08711473,0.21712127069282827,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 78, 'amount': 0.41483205556869507, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,79,0.0,5,0.0,0.0,-0.09208982,0.18132260523952784,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 79, 'amount': 0.43852296471595764, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,89,3.0,5,0.0,0.0,-0.06352813,0.19552253901060612,Vanchiglia,"[{'sender': 'Aggregator', 'receiver': 89, 'amount': 0.302514910697937, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,5,3.0,10,0.0,0.0,-0.05424201,0.20337409804234668,Santa_Rita,"[{'sender': 'Aggregator', 'receiver': 5, 'amount': 0.25829529762268066, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
0,20,2.0,0,0.0,0.0,-0.03655663,0.2035134627044209,Santa_Rita,"[{'sender': 'Aggregator', 'receiver': 20, 'amount': 0.17407919466495514, 'price_per_kWh': 0.21000000000000002, 'type': 'GRID_buy', 'hour': 0}]"
